course_id,level,latest_offering,college_desc,department_desc,title_long_desc,course_text_narrative,n_unique,n_department,row_number
ANTH 152,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,EVOLUTION OF THE FIRST HOMINIDS,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 002 or consent of instructor. Explores human evolution in the first five million years; examines the fossil record and incorporates data from archaeology and genetics. Topics include hominoid evolution in the Miocene, origin models of the human lineage, and the first ancestral humans.
",1,1,147
ANTH 153,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,EVOLUTION OF THE GENUS HOMO,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 002 or consent of instructor. Explores human evolution in the last two million years; examines the fossil record and incorporates data from archaeology and genetics. Topics include origins of genus Homo, world-wide dispersals, Neanderthals, and origins of modern humans.",1,1,148
ANTH 155,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,HUMAN OSTEOLOGY,"6 Units, Lecture, 2 hours; discussion, 1 hour; laboratory, 6 hours, research, 3 hours. Prerequisite(s): ANTH 002, upper-division standing; or consent of instructor. An in-depth study of the human skeleton, including bone biology, functional morphology, fragment identification, reconstruction, forensic methods, and curation techniques. Useful for anthropologists and those intending careers in medicine, physical therapy, and forensics.",1,1,149
ANTH 164,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Anthropology,FORENSIC ANTHROPOLOGY,"4 Units, Lecture 2,  Activity 3, Research 3, Prerequisite(s): ANTH 002 with a grade of ""C-"" or better;  Introduces the applied study of forensic anthropology. Topics include basic training in forensic anthropology, its history and theoretical background, medico-legal aspects, case studies, and training in how to identify human skeletal remains and information that can be determined from human bone.
",1,1,150
ANTH 165E,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,METHODS IN ARCHAEOLOGY,"4 Units,  Lecture, 3 hours, Research, 3 hours, Prerequisite(s): ANTH 005 with a grade of ""C-"" or better.  Review of methods used by archaeologists in field and laboratory contexts. Critically explores the applications of different techniques to answer social questions. 
",1,1,151
ANTH 165F,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,METHODS IN BIOLOGICAL ANTHROPOLOGY,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 002 or consent of instructor.  Introduces research methods in biological anthropology. Topics include the history of scientific approach in American anthropology, statistics, data resampling, evolution, and variation. 
",1,1,152
ANTH 165G,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,METHODS IN CULTURAL ANTHROPOLOGY,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 001 with a grade of C- or better. Introduces research methods used by cultural anthropologists. Examines the research process from identifying research problems, to selecting research methods, developing research strategies, collecting and analyzing data, and reporting research findings. Methods and topics covered include participant observation, writing fieldnotes, interviews and surveys, qualitative and quantitative data analysis, and research ethics. Methods In Cultural Anthropology   ",1,1,153
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Anthropology,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",1,1,154
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Dance,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",0,1,155
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Ethnic Studies,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",0,1,156
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Liberal Studies Program,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",0,1,157
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Music,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",0,1,158
ANTH 176 / AST 127 / DNCE 127 / ETST 172 / MUS 127 / SEAS 127,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Southeast Asian Studies,MUSIC CULTURES OF SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of music, dance, theatre, and ritual in the Philippines, Indonesia, Malaysia, Thailand, Myanmar (Burma), Laos, Cambodia, and Vietnam. Designed for the student interested in the performing arts and cultures of mainland and insular Southeast Asia. No Western music background is required. Cross-listed with ANTH 176, AST 127, DNCE 127, ETST 172, and MUS 127.",0,1,159
ANTH 177 / GSST 126 / MUS 126,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,"GENDER, SEXUALITY, AND MUSIC IN CROSS-CULTURAL PERSPECTIVES","4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An overview of gendered performance genres from a number of cultures. Explores gender-specific music and notions of gender that are often constructed, maintained, transmitted, and transformed through music and performance. Cross-listed with ANTH 177, and GSST 126.",1,1,160
ANTH 177 / GSST 126 / MUS 126,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Gender and Sexuality Studies,"GENDER, SEXUALITY, AND MUSIC IN CROSS-CULTURAL PERSPECTIVES","4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An overview of gendered performance genres from a number of cultures. Explores gender-specific music and notions of gender that are often constructed, maintained, transmitted, and transformed through music and performance. Cross-listed with ANTH 177, and GSST 126.",0,1,161
ANTH 177 / GSST 126 / MUS 126,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Music,"GENDER, SEXUALITY, AND MUSIC IN CROSS-CULTURAL PERSPECTIVES","4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An overview of gendered performance genres from a number of cultures. Explores gender-specific music and notions of gender that are often constructed, maintained, transmitted, and transformed through music and performance. Cross-listed with ANTH 177, and GSST 126.",0,1,162
ANTH 180,Undergraduate,202220,"Humanities, Arts, and Soc Sci",Anthropology,MATERIAL CULTURE,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): ANTH 001 or ANTH 001H or ANTH 001W or ANTH 005;  or consent of instructor. Introduces theoretical and methodological debates in the anthropological study of material culture. Compares archaeological and sociocultural approaches to understanding the significance of matter and materiality across time and space. Covers the relationships between people and things, and the role of objects in social, economic, religious, and political life.    ",1,1,163
ANTH 188 / GSST 151,Undergraduate,202210,"Humanities, Arts, and Soc Sci",Anthropology,"ISLAM, WOMEN, AND THE STATE","4 Units, Lecture, 3 hours; individual study, 2 hours; extra reading, 1 hour. Prerequisite(s): GSST 167 or GSST 168;  restricted to class level standing of junior, or  senior. Examines the links between women, Islamic practices, and the politics of state formation and nation building. Explores ways women constitute the terrain of struggle between the traditional and modern, colonialism and nationalism, and religion and politics.     Cross-listed with ANTH 188. ",1,1,164
ANTH 188 / GSST 151,Undergraduate,202210,"Humanities, Arts, and Soc Sci",Gender and Sexuality Studies,"ISLAM, WOMEN, AND THE STATE","4 Units, Lecture, 3 hours; individual study, 2 hours; extra reading, 1 hour. Prerequisite(s): GSST 167 or GSST 168;  restricted to class level standing of junior, or  senior. Examines the links between women, Islamic practices, and the politics of state formation and nation building. Explores ways women constitute the terrain of struggle between the traditional and modern, colonialism and nationalism, and religion and politics.     Cross-listed with ANTH 188. ",0,1,165
ANTH 189 / GSST 168,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Anthropology,GENDER AND POWER IN MUSLIM SOCIETIES,"4 Units, Lecture, 3 hours; extra reading, 1 hour; written work, 2 hours.  Prerequisite(s): upper-division standing or consent of instructor. Examines the dynamics of gender relations within the context of the Muslim world. Analyzes processes of power which influence concepts of femininity, masculinity, the body, and sexuality. Explores heterogeneity of the Muslim world as well as its unifying cultural and social history. Cross-listed with ANTH 189.",1,1,166
ANTH 189 / GSST 168,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Gender and Sexuality Studies,GENDER AND POWER IN MUSLIM SOCIETIES,"4 Units, Lecture, 3 hours; extra reading, 1 hour; written work, 2 hours.  Prerequisite(s): upper-division standing or consent of instructor. Examines the dynamics of gender relations within the context of the Muslim world. Analyzes processes of power which influence concepts of femininity, masculinity, the body, and sexuality. Explores heterogeneity of the Muslim world as well as its unifying cultural and social history. Cross-listed with ANTH 189.",0,1,167
ANTH 190,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SPECIAL STUDIES,"1 to 5 Units, variable hours. Prerequisite(s): consent of instructor. Independent study and research by qualified undergraduate students under supervision of a particular faculty member. With consent of instructor, may be repeated without duplication of credit.",1,1,168
ANTH 191,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours, research, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. Examines contemporary issues and topics in anthropology that are not part of the regular curricular offerings. Content of the course varies and is announced as the course is offered. Course is repeatable to a maximum of 16 units.",1,1,169
ANTH 195A,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SENIOR THESIS,"4 Units, Optional for anthropology majors; open to senior students having a ""B"" average in their major, with consent of instructor. Graded In Progress (IP) until ANTH 195A, ANTH 195B, and ANTH 195C are completed, at which time a final grade is assigned.
",1,1,170
ANTH 195B,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SENIOR THESIS,"4 Units, Optional for anthropology majors; open to senior students having a ""B"" average in their major, with consent of instructor. Graded In Progress (IP) until ANTH 195A, ANTH 195B, and ANTH 195C are completed, at which time a final grade is assigned.
",1,1,171
ANTH 195C,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SENIOR THESIS,"4 Units, Optional for anthropology majors; open to senior students having a ""B"" average in their major, with consent of instructor.",1,1,172
ANTH 198I,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,INTERNSHIP IN ANTHROPOLOGY,"1 to 12 Units, Field Research, 1 hour to 16 hours. Prerequisite(s): consent of instructor. Systematic participation by an individual in studies associated with future career(s) development within the context of an anthropological research project directed by a faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 16 units towards graduation.",1,1,173
ANTH 199H,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SENIOR HONORS RESEARCH,"1 to 5 Units, Research, variable hours. Independent work under the direction of members of the staff. With consent of instructor, may be repeated without duplication of credit.",1,1,174
ANTH 200A,Graduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,CORE THEORY IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing in Anthropology or consent of instructor. Examines the foundational theories of anthropology and how these inform current discussions about human origins, the origins of human society, divergences in different national traditions, including debates and congruencies with other disciplines.",1,1,175
ANTH 200B,Graduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,CORE THEORY IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing, ANTH 200A; or consent of instructor. Examines the foundational theories of anthropology and how these inform current discussions about diversity; inequality; language; power; knowledge systems; and their intersections in the four subfields.",1,1,176
ANTH 200C,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,CORE THEORY IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): ANTH 200B;  graduate standing;  or consent of instructor. Examines the foundational theories of anthropology and how these inform current discussions about history, capitalism, diversity, anti-blackness, feminist anthropology, and globalization.    ",1,1,177
ANTH 201,Graduate,202310,"Humanities, Arts, and Soc Sci",Anthropology,"CRITICAL THEORIES OF GENDER, RACE, AND BLACKNESS","4 Units, Lecture, 3 hours; individual study, 4 hours, written work, 2 hours. Prerequisite(s): graduate standing or consent of instructor. Introduces major critical theories on the intersections of gender, race, and blackness. Topics include the afterlives of slavery, black feminisms, colonialism, empire, genocide, and revolt. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor",1,1,178
ANTH 202 / CPLT 200 / SEAS 200,Graduate,202340,"Humanities, Arts, and Soc Sci",Literatures & Languages,TOPICS IN SOUTHEAST ASIAN STUDIES,"4 Units, Seminar, 3 hours; written work, 2 hours; term paper, 1 hour. Prerequisite(s): graduate standing or consent of instructor. An introduction to the world of Southeast Asia and the scholarly discussions about it, with an emphasis on cultural aspects, embedded in their historical context.  Materials are in English. Course is repeatable as content changes to a maximum of 12 units. Cross-listed with ANTH 202 and CPLT 200.",1,1,179
ANTH 203 / SEAS 203,Graduate,202140,"Humanities, Arts, and Soc Sci",Anthropology,SOUTHEAST ASIAN CULTURES,"4 Units, Seminar, 3 hours; extra reading, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Surveys ethnographic literature on Southeast Asian cultures, with an emphasis on contemporary research. Covers anthropological approaches to the study of text, ritual, and performance practices; intercultural dynamics; the impact of colonialism and nationalism on traditional cultures; and globalization. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor. Cross-listed with ANTH 203.",1,1,180
ANTH 203 / SEAS 203,Graduate,202140,"Humanities, Arts, and Soc Sci",Literatures & Languages,SOUTHEAST ASIAN CULTURES,"4 Units, Seminar, 3 hours; extra reading, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Surveys ethnographic literature on Southeast Asian cultures, with an emphasis on contemporary research. Covers anthropological approaches to the study of text, ritual, and performance practices; intercultural dynamics; the impact of colonialism and nationalism on traditional cultures; and globalization. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor. Cross-listed with ANTH 203.",0,1,181
ANTH 207,Graduate,202140,"Humanities, Arts, and Soc Sci",Anthropology,ARCHAEOLOGY OF POWER AND IDEOLOGY,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 200A, ANTH 200B; or consent of instructor. Critically evaluates social theories that underlay the concepts of power and ideology, and examines archaeological approaches to relevant questions of social change. Develop student's perspectives on the mechanism of power and ideology beyond Western philosophy. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor.",1,1,182
ANTH 210A,Graduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,DESCRIPTION AND INFERENCE IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 1 hour; individual study, 1 hour; extra reading, 1 hour. Prerequisite(s): graduate standing or consent of instructor. An examination of the modes of defining concepts and relations, developing and framing theories, and relating data to theory in anthropology; analysis of representative attempts to describe and explain behavior; and practice in carrying out simple analyses.",1,1,183
ANTH 210B,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,PROFESSIONALISM IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 1 hour; extra reading, 1 hour; proposal preparation, 1 hour. Prerequisite(s): graduate standing or consent of instructor. Covers many aspects of professional career development in anthropology (including archaeology). Topics include the establishment of career goals, building a professional reputation, presenting papers at meetings, submitting manuscripts for publication, developing a research proposal, identifying sources of research funding, and the job search.",1,1,184
ANTH 217,Graduate,202320,"Humanities, Arts, and Soc Sci",Anthropology,MATTER AND MATERIALITY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s):  graduate standing;  or consent of instructor. Surveys major topics in anthropological research on material culture and relationships between people and things. Compares archaeological and sociocultural approaches to studies of matter and materiality across time and space. Theorizes role and significance of objects in the organization of social, economic, and religious life and maintenance of power structures.  May be Taken Satisfactory (S) or No Credit (NC) by students advanced to candidacy for the Ph.D. Course is repeatable as content or topic changes to a maximum of 8 units. ",1,1,185
ANTH 218,Graduate,202320,"Humanities, Arts, and Soc Sci",Anthropology,ANCIENT MAYA HISTORY AND RELIGION,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Along with describing major historical figures and religious concepts of the ancient Maya, this course describes the analytic approaches used for the study of ancient Maya writing and art. The pioneering work of the nineteenth century as well as the most recent findings in the ongoing process of decipherment and iconographic interpretation will be discussed. Basic background needed to begin original research and interpretation will be provided.",1,1,186
ANTH 252,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN ARCHAEOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Studies in culture history and in the data and methods of archaeological research. Course is repeatable.",1,1,187
ANTH 253,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN PHYSICAL ANTHROPOLOGY,"4 Units, Seminar, 3 hours, research 3 hours. Prerequisite(s): graduate standing or consent of instructor. Selected topics in the analysis of human variation and evolution, the structure of human populations, and the biocultural environments of humans. Course is repeatable.",1,1,188
ANTH 255,Graduate,202140,"Humanities, Arts, and Soc Sci",Anthropology,"FEMINISM, GENDER, AND ARCHAEOLOGY","4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Considers feminist perspectives on past human societies, as well as how feminism and gender have shaped archaeological research design. Examines how gender relates to careers in archaeology.
",1,1,189
ANTH 256,Graduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN CULTURAL ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Provides focused coverage of concepts, theory, and methods central to various subfields in cultural anthropology. Course is repeatable.",1,1,190
ANTH 259,Graduate,202310,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN LINGUISTIC ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s):  graduate standing;  or consent of instructor. Studies in the concepts, methods, and data pertinent to linguistic anthropology.    ",1,1,191
ANTH 260,Graduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,ETHNOGRAPHIC FIELD METHODS,"4 Units, Seminar, 3 hours; field, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Introduces ethnographic field methodologies and research techniques through theoretical and practical application. Examines historical and contemporary models of fieldwork practices and ethics. Topics include fieldwork preparation; participant observation; ethnographic responsibilities; data collection techniques; interviews; gendered dynamics of field research; historical and visual methods; and violence in the field. Course is repeatable.",1,1,192
ANTH 262,Graduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN MEDICAL ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Surveys major topics in medical anthropology. Examines the theoretical and methodological underpinnings of medical anthropology, including the cultural construction of health and disease, the nature of the therapeutic process, and how social structures contribute to inequality and suffering.  
",1,1,193
ANTH 264,Graduate,202220,"Humanities, Arts, and Soc Sci",Anthropology,CODICES OF ANCIENT MEXICO,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. The major manuscripts of the pre-Hispanic and contact periods of Mesoamerica will be reviewed. Special focus will be on the ancient codices of the Maya, Aztec, Mixtec, and the unprovenienced Borgia Group.",1,1,194
ANTH 277,Graduate,202240,"Humanities, Arts, and Soc Sci",Anthropology,SEMINAR IN POLITICAL ECOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. An advanced course focusing on the relationship between political economy and human ecology for the analysis of the interaction between people, natural resources, and the environment.",1,1,195
ANTH 290,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,DIRECTED STUDIES,"1 to 6 Units, Independent study by graduate students under supervision of a particular faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable.",1,1,196
ANTH 291,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,INDIVIDUAL STUDIES IN COORDINATED AREAS,"1 to 6 Units, Prerequisite(s): graduate standing. A program of study designed to advise and assist candidates who are preparing for doctoral examination. The following rules apply: 1) a student may take up to 12 units for the Basic Requirements; 2) a student may take up to 8 units for the Comprehensive Requirements. Graded Satisfactory (S) or No Credit (NC). Course is repeatable.",1,1,197
ANTH 292,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,"1 to 4 Units, Each ANTH 292 course will be taken concurrently with some 100-series course, but on an individual basis. It will be devoted to completion of a graduate paper based on research or criticism related to the 100-series course. Faculty guidance and evaluation will be provided throughout the quarter. Satisfactory (S) or No Credit (NC) grading is not available. Course is repeatable.",1,1,198
ANTH 297,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,DIRECTED RESEARCH,"1 to 6 Units, Individual research by graduate students directed by a particular faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable.",1,1,199
ANTH 299,Graduate,202420,"Humanities, Arts, and Soc Sci",Anthropology,RESEARCH FOR THESIS OR DISSERTATION,"1 to 12 Units, Field training and directed research in preparation for and completion of doctoral dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable.",1,1,200
ANTH 301,Graduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,DIRECTED STUDIES IN THE TEACHING OF ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing; consent of instructor. Discusses bibliography and research and teaching techniques used in the instruction of anthropology. Covers how to lead discussion sections and relate student experience to anthropological problems. Graded Satisfactory (S) or No Credit (NC). Course is repeatable.",1,1,201
ANTH 302,Graduate,202410,"Humanities, Arts, and Soc Sci",Anthropology,TEACHING PRACTICUM,"1 to 4 Units, Prerequisite(s): limited to departmental teaching assistants; graduate standing, ANTH 301, or consent of instructor. Supervised teaching in upper- and lower- division Anthropology courses. Required of all teaching assistants. Fulfills teaching portion of Ph.D. teaching requirement. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit.",1,1,202
ARBC 001,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Literatures & Languages,ELEMENTARY ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): Student must take the Arabic placement examination.  An introduction to modern standard Arabic. Focuses on the development of the four language skills: listening, speaking, reading, and writing. Also explores aspects of Arabic cultures.  Classes conducted primarily in Arabic.",1,1,203
ARBC 002,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Literatures & Languages,ELEMENTARY ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): ARBC 001 with a grade of ""C-"" or better or equivalent or a sufficiently high test score on the Arabic placement examination as determined by the department faculty. An introduction to modern standard Arabic. Focuses on the development of the four language skills:  listening, speaking, reading, and writing. Also explores aspects of Arabic cultures. Classes conducted primarily in Arabic. 

",1,1,204
ARBC 003,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Literatures & Languages,ELEMENTARY ARABIC,"4 Units, Lecture, 4 hours. Prerequisite(s): ARBC 002 with a grade of ""C-"" or better or equivalent or a sufficiently high test score on the Arabic placement examination as determined by the department faculty. An introduction to modern standard Arabic. Focuses on the development of the four language skills: listening, speaking, reading, and writing. Also explores aspects of Arabic cultures. Classes conducted primarily in Arabic.

",1,1,205
ARBC 004,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Literatures & Languages,INTERMEDIATE ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): ARBC 003 with a grade of ""C-"" or better or equivalent or a sufficiently high test score on the Arabic placement examination as determined by the department faculty. An introduction to intermediate modern standard Arabic. Builds upon current knowledge levels of grammar and vocabulary to gain greater fluency and accuracy in listening, speaking, reading, and writing. Classes conducted in Arabic.",1,1,206
ARBC 105,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Literatures & Languages,MEDIA ARABIC,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): ARBC 006 or consent of instructor. Develops listening, speaking, reading, and writing skills through a focus on the language in newspapers, the news, and other forms of media in the Arabic language.",1,1,207
ARBC 110,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Literatures & Languages,ADVANCED READINGS IN ARABIC,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): ARBC 006 or consent of instructor. Advanced seminar in the reading of Arabic texts. Focuses on improving students' reading skills while reviewing and deepening knowledge of Arabic grammar and vocabulary. Course is repeatable as content changes up to a maximum of 12 units.",1,1,208
ARLC 154 / CPLT 154 / PHIL 128,Undergraduate,202230,"Humanities, Arts, and Soc Sci",Literatures & Languages,INTRODUCTION TO ARABIC PHILOSOPHY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An introduction to Arabic philosophical texts. Provides close and literary reading of texts in philosophy, as well as considers the impact these texts have had or can have on Western cultural formation. Cross-listed with ARLC 154, and CPLT 154.",1,1,209
ARLC 154 / CPLT 154 / PHIL 128,Undergraduate,202230,"Humanities, Arts, and Soc Sci",Philosophy,INTRODUCTION TO ARABIC PHILOSOPHY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An introduction to Arabic philosophical texts. Provides close and literary reading of texts in philosophy, as well as considers the impact these texts have had or can have on Western cultural formation. Cross-listed with ARLC 154, and CPLT 154.",0,1,210
ARLC 155 / CPLT 155 / MEIS 155,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Liberal Studies Program,INTRODUCTION TO ARABIC LITERATURE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. An introduction to Arabic literature that focuses on language and rhetoric. Considers major issues such as colonialism, secularism, modernity, language, and the state. Utilizes texts from literature, the law, and philosophy.     Cross-listed with ARLC 155, and CPLT 155. ",1,1,211
